term,category,Simple category,local term
gangs,dogwhistle,Dogwhistle,gangs
gangsta,dogwhistle,Dogwhistle,gangsta
gangster,dogwhistle,Dogwhistle,gangster
immigrant,dogwhistle,Dogwhistle,immigrant
immigrants,dogwhistle,Dogwhistle,immigrants
immigration,dogwhistle,Dogwhistle,immigration
race-crime,dogwhistle,Dogwhistle,race-crime
sharia,dogwhistle,Dogwhistle,sharia
terror,dogwhistle,Dogwhistle,terror
terrorise,dogwhistle,Dogwhistle,terrorise
terrorised,dogwhistle,Dogwhistle,terrorised
terrorising,dogwhistle,Dogwhistle,terrorising
terrorism,dogwhistle,Dogwhistle,terrorism
terrorist,dogwhistle,Dogwhistle,terrorist
terrorists,dogwhistle,Dogwhistle,terrorists
terrorize,dogwhistle,Dogwhistle,terrorize
terrorized,dogwhistle,Dogwhistle,terrorized
terrorizing,dogwhistle,Dogwhistle,terrorizing
thug,dogwhistle,Dogwhistle,thug
thuggery,dogwhistle,Dogwhistle,thuggery
thugly,dogwhistle,Dogwhistle,thugly
thugs,dogwhistle,Dogwhistle,thugs
dad,family,Family,dad
father,family,Family,father
fianc�͌�e,family,Family,fianc�͌�e
fiance,family,Family,fiance
fiancee,family,Family,fiancee
genes,family,Family,genes
gf,family,Family,gf
girlfriend,family,Family,girlfriend
inbred,family,Family,inbred
mam,family,Family,mam
mother,family,Family,mother
mum,family,Family,mum
sister,family,Family,sister
sister's,family,Family,sister's
sisters,family,Family,sisters
wife,family,Family,wife
wife's,family,Family,wife's
:bell: :END_arrow:,general abuse,General abuse,:bell: :END_arrow:
:bell::END_arrow:,general abuse,General abuse,:bell::END_arrow:
:middle_finger_dark_skin_tone:,general abuse,General abuse,:middle_finger_dark_skin_tone:
:middle_finger_light_skin_tone:,general abuse,General abuse,:middle_finger_light_skin_tone:
:middle_finger_medium_dark_skin_tone:,general abuse,General abuse,:middle_finger_medium_dark_skin_tone:
:middle_finger_medium_light_skin_tone:,general abuse,General abuse,:middle_finger_medium_light_skin_tone:
:middle_finger_medium_skin_tone:,general abuse,General abuse,:middle_finger_medium_skin_tone:
:oncoming_fist_dark_skin_tone: :sweat_droplets:,general abuse,General abuse,:oncoming_fist_dark_skin_tone: :sweat_droplets:
:oncoming_fist_dark_skin_tone::sweat_droplets:,general abuse,General abuse,:oncoming_fist_dark_skin_tone::sweat_droplets:
:oncoming_fist_light_skin_tone: :sweat_droplets:,general abuse,General abuse,:oncoming_fist_light_skin_tone: :sweat_droplets:
:oncoming_fist_light_skin_tone::sweat_droplets:,general abuse,General abuse,:oncoming_fist_light_skin_tone::sweat_droplets:
:oncoming_fist_medium_dark_skin_tone: :sweat_droplets:,general abuse,General abuse,:oncoming_fist_medium_dark_skin_tone: :sweat_droplets:
:oncoming_fist_medium_dark_skin_tone::sweat_droplets:,general abuse,General abuse,:oncoming_fist_medium_dark_skin_tone::sweat_droplets:
:oncoming_fist_medium_light_skin_tone: :sweat_droplets:,general abuse,General abuse,:oncoming_fist_medium_light_skin_tone: :sweat_droplets:
:oncoming_fist_medium_light_skin_tone::sweat_droplets:,general abuse,General abuse,:oncoming_fist_medium_light_skin_tone::sweat_droplets:
:oncoming_fist_medium_skin_tone: :sweat_droplets:,general abuse,General abuse,:oncoming_fist_medium_skin_tone: :sweat_droplets:
:oncoming_fist_medium_skin_tone::sweat_droplets:,general abuse,General abuse,:oncoming_fist_medium_skin_tone::sweat_droplets:
:rat:,general abuse,General abuse,:rat:
:snake:,general abuse,General abuse,:snake:
bastard,general abuse,General abuse,bastard
bastard's,general abuse,General abuse,bastard's
bastards,general abuse,General abuse,bastards
bell end,general abuse,General abuse,bell end
bellend,general abuse,General abuse,bellend
cunt,general abuse,General abuse,cunt
cunter,general abuse,General abuse,cunter
cuntie,general abuse,General abuse,cuntie
cuntness,general abuse,General abuse,cuntness
cunts,general abuse,General abuse,cunts
cunty,general abuse,General abuse,cunty
fuck off,general abuse,General abuse,fuck off
fuck you,general abuse,General abuse,fuck you
knob,general abuse,General abuse,knob
knob head,general abuse,General abuse,knob head
knobend,general abuse,General abuse,knobend
knobhead,general abuse,General abuse,knobhead
knobs,general abuse,General abuse,knobs
nob end,general abuse,General abuse,nob end
nob head,general abuse,General abuse,nob head
nobend,general abuse,General abuse,nobend
nobhead,general abuse,General abuse,nobhead
nonce,general abuse,General abuse,nonce
noncery,general abuse,General abuse,noncery
nonces,general abuse,General abuse,nonces
noncey,general abuse,General abuse,noncey
paedo,general abuse,General abuse,paedo
paedophile,general abuse,General abuse,paedophile
paedophiles,general abuse,General abuse,paedophiles
paedophilic,general abuse,General abuse,paedophilic
pedo,general abuse,General abuse,pedo
pedos,general abuse,General abuse,pedos
rat,general abuse,General abuse,rat
rats,general abuse,General abuse,rats
shit,general abuse,General abuse,shit
shits,general abuse,General abuse,shits
shitty,general abuse,General abuse,shitty
smell,general abuse,General abuse,smell
smelled,general abuse,General abuse,smelled
smelling,general abuse,General abuse,smelling
smelly,general abuse,General abuse,smelly
snake,general abuse,General abuse,snake
snakes,general abuse,General abuse,snakes
snakey,general abuse,General abuse,snakey
stink,general abuse,General abuse,stink
stinker,general abuse,General abuse,stinker
stinkfest,general abuse,General abuse,stinkfest
stinks,general abuse,General abuse,stinks
stinky,general abuse,General abuse,stinky
thundercunt,general abuse,General abuse,thundercunt
thundercunts,general abuse,General abuse,thundercunts
tosser,general abuse,General abuse,tosser
tossers,general abuse,General abuse,tossers
ugly,general abuse,General abuse,ugly
wanker,general abuse,General abuse,wanker
wankers,general abuse,General abuse,wankers
worstcunt,general abuse,General abuse,worstcunt
back to africa,go back,Xenophobia,back to africa
fuck off back,go back,Xenophobia,fuck off back
go back home,go back,Xenophobia,go back home
go back to,go back,Xenophobia,go back to
butch,homophobia,Homophobia,butch
dyke,homophobia,Homophobia,dyke
dykes,homophobia,Homophobia,dykes
fag,homophobia,Homophobia,fag
faggot,homophobia,Homophobia,faggot
faggots,homophobia,Homophobia,faggots
fags,homophobia,Homophobia,fags
gay,homophobia,Homophobia,gay
gay asf,homophobia,Homophobia,gay asf
gay cunt,homophobia,Homophobia,gay cunt
gays,homophobia,Homophobia,gays
gaythismorning,homophobia,Homophobia,gaythismorning
gayyyyyyyyyyyyyyy,homophobia,Homophobia,gayyyyyyyyyyyyyyy
homo,homophobia,Homophobia,homo
homo-erotic,homophobia,Homophobia,homo-erotic
homosexual,homophobia,Homophobia,homosexual
homosexuals,homophobia,Homophobia,homosexuals
lesbian,homophobia,Homophobia,lesbian
lesbians,homophobia,Homophobia,lesbians
lesbo,homophobia,Homophobia,lesbo
lesbos,homophobia,Homophobia,lesbos
poof,homophobia,Homophobia,poof
poofter,homophobia,Homophobia,poofter
poofters,homophobia,Homophobia,poofters
puffs,homophobia,Homophobia,puffs
puffter,homophobia,Homophobia,puffter
puffters,homophobia,Homophobia,puffters
queer,homophobia,Homophobia,queer
tranny,homophobia,Homophobia,tranny
trans,homophobia,Homophobia,trans
transgender,homophobia,Homophobia,transgender
transgenderism,homophobia,Homophobia,transgenderism
transwomen,homophobia,Homophobia,transwomen
bounty,intracommunity slurs,Intracommunity slurs,bounty
choc ice,intracommunity slurs,Intracommunity slurs,choc ice
coconut,intracommunity slurs,Intracommunity slurs,coconut
coconuts,intracommunity slurs,Intracommunity slurs,coconuts
coon,intracommunity slurs,Intracommunity slurs,coon
coons,intracommunity slurs,Intracommunity slurs,coons
:dvd:,possible slurs,Racism,:dvd:
:gorilla:,possible slurs,Racism,:gorilla:
:water_buffalo:,possible slurs,Racism,:water_buffalo:
:watermelon:,possible slurs,Racism,:watermelon:
#zionist,possible slurs,Antisemitism,#zionist
ape,possible slurs,Racism,ape
apes,possible slurs,Racism,apes
buffalo,possible slurs,Racism,buffalo
buffalo's,possible slurs,Racism,buffalo's
buffaloe,possible slurs,Racism,buffaloe
buffalos,possible slurs,Racism,buffalos
chimp,possible slurs,Racism,chimp
chimpanzee,possible slurs,Racism,chimpanzee
chimpanzees,possible slurs,Racism,chimpanzees
chimps,possible slurs,Racism,chimps
dvd,possible slurs,Racism,dvd
dvds,possible slurs,Racism,dvds
elbuffalo,possible slurs,Racism,elbuffalo
gorilla,possible slurs,Racism,gorilla
gorillas,possible slurs,Racism,gorillas
gypsies,possible slurs,Anti-GRT,gypsies
gypsy,possible slurs,Anti-GRT,gypsy
israelite,possible slurs,Antisemitism,israelite
israelites,possible slurs,Antisemitism,israelites
jewishprivilege,possible slurs,Antisemitism,jewishprivilege
jungle,possible slurs,Racism,jungle
jungles,possible slurs,Racism,jungles
mongolian,possible slurs,Racism,mongolian
mongrel,possible slurs,Racism,mongrel
mongrels,possible slurs,Racism,mongrels
mongrols,possible slurs,Racism,mongrols
monkey,possible slurs,Racism,monkey
monkeys,possible slurs,Racism,monkeys
nigga,possible slurs,Racism,nigga
niggas,possible slurs,Racism,niggas
niggga,possible slurs,Racism,niggga
orangutans,possible slurs,Racism,orangutans
rasta,possible slurs,Racism,rasta
rastas,possible slurs,Racism,rastas
snigger,possible slurs,Racism,snigger
sniggers,possible slurs,Racism,sniggers
w.buffalo,possible slurs,Racism,w.buffalo
watermelon,possible slurs,Racism,watermelon
watermelons,possible slurs,Racism,watermelons
zio,possible slurs,Antisemitism,zio
zion,possible slurs,Antisemitism,zion
